Geoname ID;Name;ASCII Name;Alternate Names;Feature Class;Feature Code;Country Code;Country name EN;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;LABEL EN;Coordinates
2798847;Elewijt;Elewijt;Elewyt,Zemst (Elewijt);P;PPL;BE;Belgium;;VLG;VBR;23;23096;5172;;10;Europe/Brussels;2020-04-05;Belgium;50.96043, 4.49684
2912829;Hadamar;Hadamar;Gadamar,Hadamar,Khadamar,ha da ma er,hadamar,Гадамар,Хадамар,هادامار,哈达马尔;P;PPL;DE;Germany;;05;065;06533;06533007;12131;;134;Europe/Berlin;2016-01-04;Germany;50.44593, 8.04253
2917833;Greding;Greding;Greding,ge lei ding,ghrydyngh,grdyng,guredingu,Грединг,Гредінг,Գրեդինգ,غريدينغ,گردینگ,グレーディング,格雷丁;P;PPL;DE;Germany;;02;095;09576;09576122;7238;;393;Europe/Berlin;2013-02-19;Germany;49.04699, 11.35703
2949998;Bernkastel-Kues;Bernkastel-Kues;Bern Kastel,Bernkastel'-Kus,Bernkastel-Cues,Bernkastel-Kues,Tabernae Mosellanicae-Cusa,bei er en ka si te er-ku ai si,berunkasuteru=kusu,brnksl-kwyz,brnqstl-qwyz,byrnkastl-kwyz,Бернкастел-Куес,Бернкастель-Кус,ברנקסטל-קויז,برنکسل-کوئز,بيرنكاستل-كويز,ბერნკასტელ-კუუსი,ベルンカステル＝クース,贝尔恩卡斯特尔-库埃斯;P;PPL;DE;Germany;;08;00;07231;07231008;6880;;119;Europe/Berlin;2015-09-05;Germany;49.91602, 7.07664
3208547;Helgoland;Helgoland;HGL,Helgoland,Heligoland,Khel'goland,Хельголанд;P;PPLA4;DE;Germany;;10;00;01056;01056025;1333;;37;Europe/Berlin;2023-08-17;Germany;54.18143, 7.8863
3274987;Altenbuch;Altenbuch;Al'tenbukh,Altenbukh,a er teng bu,arutenbufu,atnbakh,Алтенбух,Альтенбух,Ալթենբուխ,اتنباخ,アルテンブーフ,阿尔滕布;P;PPLA4;DE;Germany;;02;096;09676;09676111;1311;;254;Europe/Berlin;2011-04-25;Germany;49.82861, 9.40139
2850807;Rain;Rain;;P;PPLA4;DE;Germany;;02;092;09278;09278177;2642;;332;Europe/Berlin;2012-12-01;Germany;48.90496, 12.46871
2869221;Mörlenbach;Morlenbach;Merlenbakh,Mjorlenbakh,Moerlenbach,Morlenbach,Mörlenbach,merurenbahha,mo lun ba he,Мерленбах,Мёрленбах,メルレンバッハ,默伦巴赫;P;PPLA4;DE;Germany;;05;064;06431;06431017;10568;;164;Europe/Berlin;2015-03-04;Germany;49.59917, 8.73472
2873144;Martinhagen;Martinhagen;;P;PPL;DE;Germany;;05;066;06633;06633023;1500;380;385;Europe/Berlin;2015-09-05;Germany;51.28688, 9.28611
2880862;Langenzenn;Langenzenn;Langencen,Langencenn,Langenzenn,lan gen cen,langtsn,Лангенцен,Лангенценн,لانگتسن,兰根岑;P;PPL;DE;Germany;;02;095;09573;09573120;10629;;306;Europe/Berlin;2013-02-19;Germany;49.49463, 10.7923
2784986;Vedrin;Vedrin;Namur (Vedrin);P;PPL;BE;Belgium;;WAL;WNA;92;92094;7308;;161;Europe/Brussels;2020-04-05;Belgium;50.50273, 4.87604
2785451;Tildonk;Tildonk;Haacht  (Tildonk),Thildonck,Thildonk;P;PPL;BE;Belgium;;VLG;VBR;24;24033;3973;;16;Europe/Brussels;2020-04-05;Belgium;50.94383, 4.64481
2804642;Zeven;Zeven;Cefen,Ceven,Zeven,ce fen,tsuefen,tswn,tsyfn,Цевен,Цефен,تسون,تسيفن,ツェーフェン,策芬;P;PPL;DE;Germany;;06;00;03357;03357057;12607;;20;Europe/Berlin;2015-09-05;Germany;53.29657, 9.27685
2820693;Tuttlingen;Tuttlingen;Tutlingen,Tuttlingen,tu te lin gen,twtlynghn,twtlyngn,Тутлинген,Тутлінген,توتلينغن,توتلینگن,图特林根;P;PPLA3;DE;Germany;;01;083;08327;08327050;34847;;646;Europe/Berlin;2019-09-05;Germany;47.98464, 8.8177
2869306;Morbach;Morbach;Morbach;P;PPLA4;DE;Germany;;08;00;07231;07231502;11149;;474;Europe/Berlin;2017-04-26;Germany;49.80772, 7.12714
2829901;Stade;Stade;Gemeen Stood,Shhade,Shtade,Stade,ashtdth,shi ta de,shtadh,shutade,Штаде,Щаде,اشتدته,شتاده,シュターデ,施塔德;P;PPLA3;DE;Germany;;06;00;03359;03359038;45634;;15;Europe/Berlin;2015-09-05;Germany;53.59337, 9.47629
2801533;Bonlez;Bonlez;Chaumont-Gistoux (Bonlez);P;PPL;BE;Belgium;;WAL;WBR;25;25018;1102;;85;Europe/Brussels;2020-04-05;Belgium;50.70211, 4.68859
2789156;Perwez;Perwez;Perve,Perwe,Perwez,Perwijs,Perwé,pei er wei,prwyh,Перве,پروئه,佩尔韦;P;PPL;BE;Belgium;;WAL;WBR;25;25084;2632;;147;Europe/Brussels;2020-04-05;Belgium;50.62426, 4.81354
2756169;Elsloo;Elsloo;Aelse,Elslo;P;PPL;NL;Netherlands;;05;0971;;;7220;;70;Europe/Amsterdam;2017-10-17;Netherlands;50.94917, 5.77083
3036097;Aumont-Aubrac;Aumont-Aubrac;Aumont,Aumont-Aubrac,Auroux,Autmont dAubrac,Omon Obrak,Omon-Obrak,ao meng ao bu la ke,Омон Обрак,Омон-Обрак,奥蒙奥布拉克;P;PPL;FR;France;;76;48;482;48009;1106;;1050;Europe/Paris;2020-06-10;France;44.72237, 3.28385
3018748;Fellering;Fellering;Felleren,Fellering,Felleringen,fei lei lan,Феллерен,Феллеринг,费勒兰;P;PPL;FR;France;;44;68;686;68089;1617;;440;Europe/Paris;2016-02-18;France;47.89659, 6.98552
3020565;Écaillon;Ecaillon;Ecaillon,Écaillon;P;PPL;FR;France;;32;59;593;59185;2045;;28;Europe/Paris;2016-02-18;France;50.35034, 3.21664
3021330;Dirac;Dirac;Dirac;P;PPL;FR;France;;75;16;161;16120;1389;;146;Europe/Paris;2019-10-09;France;45.6043, 0.24755
3027152;Champfleur;Champfleur;Champfleur;P;PPL;FR;France;;52;72;722;72056;1193;;148;Europe/Paris;2020-12-10;France;48.38694, 0.12725
3028039;Cazouls-lès-Béziers;Cazouls-les-Beziers;Cazouls,Cazouls-les-Beziers,Cazouls-lès-Béziers;P;PPL;FR;France;;76;34;341;34069;3837;;92;Europe/Paris;2020-06-10;France;43.39236, 3.10114
2759496;Bakhuizen;Bakhuizen;;P;PPL;NL;Netherlands;;02;1940;;;1060;;4;Europe/Amsterdam;2017-10-17;Netherlands;52.86975, 5.45926
6948945;Oranjewijk;Oranjewijk;;P;PPLX;NL;Netherlands;;11;0627;;;2650;;-5;Europe/Amsterdam;2009-09-06;Netherlands;52.04922, 4.65374
3014221;Guingamp;Guingamp;Gengam,Gengan,Genganas,Gingam,Guengampum,Guingamp,Gwengamp,gaeng-gang,gan gang,gangan,ghanghan,gngamn,gngamp,Генгам,Генган,Гингам,غانغان,گنگامن,گنگامپ,ガンガン,甘岡,갱강;P;PPLA3;FR;France;;53;22;222;22070;9023;;73;Europe/Paris;2020-08-12;France;48.56259, -3.15289
3024659;Clères;Cleres;Cleres,Clères;P;PPL;FR;France;;28;76;763;76179;1298;;94;Europe/Paris;2016-02-18;France;49.6, 1.11667
3027480;Chalo-Saint-Mars;Chalo-Saint-Mars;Chalo-Saint-Marc,Chalo-la-Raison,Châlo-Saint-Marc,Shalo Sen Mar,Shalo-Sen-Mars,sha luo sheng ma er,Шало Сен Мар,Шало-Сен-Марс,沙洛圣马尔;P;PPL;FR;France;;11;91;911;91130;1163;;94;Europe/Paris;2016-02-18;France;48.42328, 2.06491
3027505;Challex;Challex;Challeux,Challex,Challez;P;PPL;FR;France;;84;01;013;01078;1158;;508;Europe/Paris;2016-02-18;France;46.18458, 5.97639
3028095;Cayeux-sur-Mer;Cayeux-sur-Mer;Cayeux,Kaje na Moru,Kajjo-sjur-Mer,Kajo-sjur-Mer,Tcheyeu,Tchéyeu,bin hai ka yue,kaiyu=shuru=meru,Кайо-сюр-Мер,Кайё-сюр-Мер,Каје на Мору,カイユー＝シュル＝メール,滨海卡约;P;PPL;FR;France;;32;80;801;80182;2820;6;8;Europe/Paris;2016-02-18;France;50.182, 1.494
2799379;Dikkebus;Dikkebus;Dickebusch,Dikkebus,Dikkebusch;P;PPL;BE;Belgium;;VLG;VWV;33;33011;1489;;29;Europe/Brussels;2020-04-05;Belgium;50.82131, 2.82873
3012640;Ittenheim;Ittenheim;Ittenheim;P;PPL;FR;France;;44;67;674;67226;2100;;174;Europe/Paris;2019-03-26;France;48.60508, 7.59372
3013571;Hélesmes;Helesmes;Helesmes,Hélesmes;P;PPL;FR;France;;32;59;596;59297;1856;;21;Europe/Paris;2016-02-18;France;50.37036, 3.35918
3018255;Flins-sur-Seine;Flins-sur-Seine;Flen-sjur-Sen,Flins,Flins-sur-Seine,Флен-сюр-Сен;P;PPL;FR;France;;11;78;781;78238;2328;;42;Europe/Paris;2016-02-18;France;48.96523, 1.87314
3020139;Entrammes;Entrammes;Entrammes;P;PPL;FR;France;;52;53;532;53094;1951;;54;Europe/Paris;2020-12-10;France;47.9993, -0.71541
3026606;Charly;Charly;Charly;P;PPL;FR;France;;84;69;691;69046;4038;;229;Europe/Paris;2019-06-05;France;45.64887, 4.79461
3029548;Burbure;Burbure;Birbir,Bjurbjur,Burbure,bi er bi er,bwrbwry,Бирбир,Бюрбюр,بوربوري,比尔比尔;P;PPL;FR;France;;32;62;622;62188;2898;;47;Europe/Paris;2016-02-18;France;50.53663, 2.46897
3028742;Cap-d'Ail;Cap-d'Ail;Cap-d'Ail;P;PPL;FR;France;;93;06;062;06032;4997;;47;Europe/Paris;2019-12-03;France;43.72126, 7.40556
2797513;Gits;Gits;Gits;P;PPL;BE;Belgium;;VLG;VWV;36;36006;4127;;24;Europe/Brussels;2020-04-05;Belgium;50.99687, 3.09564
2798868;Eksaarde;Eksaarde;Eksaarde,Exaerde;P;PPL;BE;Belgium;;VLG;VOV;46;46014;6005;;5;Europe/Brussels;2020-04-05;Belgium;51.14876, 3.96814
2979291;Saint-Jean-de-Sauves;Saint-Jean-de-Sauves;Saint-Jean,Saint-Jean-de-Sauves,Sen-Zhan-de-Sov,sheng re ang de suo wo,Сен-Жан-де-Сов,سینٹ-ژاں -دے-سوس,圣热昂德索沃;P;PPL;FR;France;;75;86;861;86225;1409;;81;Europe/Paris;2019-09-04;France;46.84065, 0.09224
2986930;Plaisir;Plaisir;Plaisir;P;PPL;FR;France;;11;78;784;78490;36121;;120;Europe/Paris;2016-02-18;France;48.82319, 1.9541
3017728;Forges-les-Bains;Forges-les-Bains;Forges,Forges-les-Bains,Forzh le Ben,Forzh-le-Ben,fu er re lai ban,Форж ле Бен,Форж-ле-Бен,福尔热莱班;P;PPL;FR;France;;11;91;913;91249;3694;;117;Europe/Paris;2016-02-18;France;48.62942, 2.10264
3031387;Bouc-Bel-Air;Bouc-Bel-Air;Boc Bel Er,Boc Bel Erm,Boc Bèl Èr,Boc Bèl Èrm,Boc de Gardana,Bouc,Bouc-Bel-Air,Buk Bel Er,Buk-Bel'-Ehr,Buk-Bel'-Er,bu ke bei ai,Бук Бел Ер,Бук-Бель-Ер,Бук-Бель-Эр,布克贝艾;P;PPL;FR;France;;93;13;131;13015;13184;;253;Europe/Paris;2016-02-18;France;43.45217, 5.413
2821779;Tornesch;Tornesch;Tornesch,Tornesh,trnsh,tuo er nei shi,twrnsh,Торнеш,ترنش,تورنش,托尔内施;P;PPLA4;DE;Germany;;10;00;01056;01056048;13079;;13;Europe/Berlin;2011-07-31;Germany;53.7, 9.71667
2749284;Oppenhuizen;Oppenhuizen;;P;PPL;NL;Netherlands;;02;1900;;;1060;;0;Europe/Amsterdam;2017-10-17;Netherlands;53.01194, 5.69495
2907416;Heimbuchenthal;Heimbuchenthal;Gajmbukhental',Haymbuxental,Khajmbukhental,Khajmbukhental',hai en bu heng ta er,haimubuhyentaru,Гаймбухенталь,Хаймбухенталь,Хајмбухентал,Հայմբուխենտալ,ハイムブーヒェンタール,海恩布亨塔尔;P;PPLA4;DE;Germany;;02;096;09671;09671127;2219;;230;Europe/Berlin;2011-04-25;Germany;49.88917, 9.29556
2953418;Bad Kösen;Bad Koesen;Bad Kezen,Bad Kosen,Bad Kösen,Bad-Kjozen,Cusne,Kosen,Kösen,Бад Кезен,Бад-Кёзен,Бад-Көзен,バート・ケーゼン;P;PPLX;DE;Germany;;14;00;15084;15084355;5522;;118;Europe/Berlin;2020-11-19;Germany;51.13431, 11.72203
2971446;Turretot;Turretot;Turretot;P;PPL;FR;France;;28;76;762;76716;1353;;98;Europe/Paris;2016-02-18;France;49.60923, 0.23422
2978266;Saint-Martin-Lalande;Saint-Martin-Lalande;Saint Martin,Saint-Martin-Lalande;P;PPL;FR;France;;76;11;111;11356;1026;;167;Europe/Paris;2020-05-07;France;43.29999, 2.0183
2989208;Orsan;Orsan;Orsan,ao er sang,Орсан,奥尔桑;P;PPL;FR;France;;76;30;302;30191;1143;;49;Europe/Paris;2020-06-10;France;44.13181, 4.66594
2989785;Objat;Objat;Objat;P;PPL;FR;France;;75;19;191;19153;3452;;126;Europe/Paris;2019-04-10;France;45.26302, 1.40826
